stay_date,room_nights,occupied_apartments,apartment_bed_rate_pairs,avg_bed_rate,sum_bed_rate,occupancy_rate
2023-12-27,32,"[1, 2, 6, 7, 5, 3, 10, 0, 4, 9, 8]","[(1, 191085), (2, 130792), (6, 141111), (7, 179620), (5, 186902), (3, 173869), (10, 325614), (0, 218638), (4, 126576), (9, 155358), (8, 223490)]",186641,2053055,0.5614
2023-12-28,38,"[7, 5, 3, 10, 0, 4, 9, 1, 6, 2, 8]","[(7, 179620), (5, 186902), (3, 173869), (10, 325614), (0, 218638), (4, 126576), (9, 155358), (1, 145545), (6, 493572), (2, 283337), (8, 223490)]",228411,2512521,0.6667
2023-12-29,31,"[4, 9, 1, 6, 0, 10, 2, 8]","[(4, 126576), (9, 155358), (1, 145545), (6, 493572), (0, 429468), (10, 279210), (2, 283337), (8, 223490)]",267070,2136556,0.5439
2023-12-30,40,"[6, 0, 10, 4, 1, 3, 5, 7, 2, 9, 8]","[(6, 493572), (0, 429468), (10, 279210), (4, 240607), (1, 306337), (3, 302133), (5, 325825), (7, 358961), (2, 283337), (9, 267934), (8, 223490)]",319170,3510874,0.7018
2023-12-31,40,"[0, 10, 4, 1, 3, 5, 7, 6, 2, 9, 8]","[(0, 429468), (10, 279210), (4, 240607), (1, 306337), (3, 302133), (5, 325825), (7, 358961), (6, 271959), (2, 283337), (9, 267934), (8, 223490)]",299024,3289261,0.7018
2024-01-01,38,"[4, 1, 3, 5, 7, 6, 2, 0, 9, 8]","[(4, 240607), (1, 306337), (3, 302133), (5, 325825), (7, 358961), (6, 271959), (2, 283337), (0, 212782), (9, 267934), (8, 223490)]",279336,2793365,0.6667
2024-01-02,25,"[2, 0, 9, 6, 4, 8]","[(2, 283337), (0, 212782), (9, 267934), (6, 155116), (4, 89723), (8, 223490)]",205397,1232382,0.4386
2024-01-03,32,"[9, 0, 6, 7, 1, 3, 5, 10, 4, 8]","[(9, 267934), (0, 151429), (6, 155116), (7, 104048), (1, 172530), (3, 155984), (5, 140263), (10, 122594), (4, 89723), (8, 223490)]",158311,1583111,0.5614
2024-01-04,32,"[0, 6, 7, 1, 3, 5, 10, 4, 2, 8]","[(0, 151429), (6, 155116), (7, 104048), (1, 172530), (3, 155984), (5, 140263), (10, 122594), (4, 89723), (2, 97785), (8, 223490)]",141296,1412962,0.5614
2024-01-05,32,"[1, 3, 5, 10, 4, 2, 6, 7, 9, 0, 8]","[(1, 172530), (3, 155984), (5, 140263), (10, 122594), (4, 89723), (2, 97785), (6, 82770), (7, 140162), (9, 187283), (0, 159098), (8, 223490)]",142880,1571682,0.5614
2024-01-06,22,"[2, 6, 7, 9, 3, 0, 8]","[(2, 97785), (6, 82770), (7, 140162), (9, 187283), (3, 90988), (0, 159098), (8, 223490)]",140225,981576,0.386
2024-01-07,9,"[9, 3, 0, 8]","[(9, 187283), (3, 90988), (0, 159098), (8, 223490)]",165215,660859,0.1579
2024-01-08,4,"[0, 8]","[(0, 159098), (8, 223490)]",191294,382588,0.0702
2024-01-09,2,[8],"[(8, 223490)]",223490,223490,0.0351
2024-01-10,2,[8],"[(8, 223490)]",223490,223490,0.0351
2024-01-11,4,"[1, 8]","[(1, 146603), (8, 223490)]",185046,370093,0.0702
2024-01-12,8,"[1, 6, 8]","[(1, 146603), (6, 115027), (8, 223490)]",161707,485120,0.1404
2024-01-13,15,"[1, 6, 8, 3, 2]","[(1, 146603), (6, 115027), (8, 223490), (3, 95140), (2, 101120)]",136276,681380,0.2632
2024-01-14,13,"[6, 8, 3, 2]","[(6, 115027), (8, 223490), (3, 95140), (2, 101120)]",133694,534777,0.2281
2024-01-15,15,"[8, 3, 2, 0, 6]","[(8, 223490), (3, 95140), (2, 101120), (0, 125066), (6, 49618)]",118887,594434,0.2632
2024-01-16,6,"[0, 6]","[(0, 125066), (6, 49618)]",87342,174684,0.1053
2024-01-17,6,"[0, 6]","[(0, 125066), (6, 49618)]",87342,174684,0.1053
2024-01-18,6,"[1, 6]","[(1, 127092), (6, 49618)]",88355,176710,0.1053
2024-01-19,14,"[1, 8, 3, 2, 6]","[(1, 127092), (8, 146075), (3, 130514), (2, 71113), (6, 49618)]",104882,524412,0.2456
2024-01-20,14,"[1, 8, 3, 2, 6]","[(1, 127092), (8, 146075), (3, 130514), (2, 71113), (6, 49618)]",104882,524412,0.2456
2024-01-21,10,"[8, 0, 6, 1]","[(8, 76468), (0, 120381), (6, 49618), (1, 73149)]",79904,319616,0.1754
2024-01-22,12,"[8, 0, 6, 1, 9]","[(8, 76468), (0, 120381), (6, 49618), (1, 73149), (9, 82268)]",80377,401884,0.2105
2024-01-23,14,"[0, 6, 1, 9, 4, 8]","[(0, 120381), (6, 49618), (1, 73149), (9, 82268), (4, 70016), (8, 79982)]",79236,475414,0.2456
2024-01-24,14,"[6, 1, 9, 4, 8, 0]","[(6, 49618), (1, 73149), (9, 82268), (4, 70016), (8, 79982), (0, 76320)]",71892,431353,0.2456
2024-01-25,25,"[4, 8, 6, 2, 5, 3, 1, 9, 0]","[(4, 70016), (8, 79982), (6, 84417), (2, 87440), (5, 78431), (3, 90620), (1, 258930), (9, 73279), (0, 76320)]",99937,899435,0.4386
2024-01-26,23,"[6, 2, 5, 3, 1, 9, 4, 0]","[(6, 84417), (2, 87440), (5, 78431), (3, 90620), (1, 258930), (9, 73279), (4, 57448), (0, 76320)]",100861,806885,0.4035
2024-01-27,23,"[6, 2, 5, 3, 1, 9, 4, 0]","[(6, 84417), (2, 87440), (5, 78431), (3, 90620), (1, 258930), (9, 73279), (4, 57448), (0, 76320)]",100861,806885,0.4035
2024-01-28,13,"[5, 3, 1, 9, 8, 4, 0]","[(5, 78431), (3, 90620), (1, 258930), (9, 73279), (8, 81738), (4, 57448), (0, 76320)]",102395,716766,0.2281
2024-01-29,13,"[1, 9, 8, 6, 4, 0]","[(1, 258930), (9, 73279), (8, 81738), (6, 50354), (4, 57448), (0, 76320)]",99678,598069,0.2281
2024-01-30,12,"[9, 8, 6, 4, 0]","[(9, 73279), (8, 81738), (6, 50354), (4, 57448), (0, 76320)]",67828,339139,0.2105
2024-01-31,21,"[9, 8, 6, 4, 2, 5, 0, 3]","[(9, 73279), (8, 81738), (6, 50354), (4, 57448), (2, 65625), (5, 81292), (0, 76320), (3, 94680)]",72592,580736,0.3684
2024-02-01,23,"[6, 4, 8, 2, 5, 0, 9, 1, 3]","[(6, 50354), (4, 57448), (8, 108371), (2, 65625), (5, 81292), (0, 76320), (9, 110922), (1, 105583), (3, 94680)]",83399,750595,0.4035
2024-02-02,26,"[4, 8, 2, 5, 0, 6, 9, 1, 3]","[(4, 57448), (8, 108371), (2, 65625), (5, 81292), (0, 76320), (6, 95678), (9, 110922), (1, 105583), (3, 94680)]",88435,795919,0.4561
2024-02-03,26,"[2, 5, 0, 6, 8, 9, 1, 4, 3]","[(2, 65625), (5, 81292), (0, 76320), (6, 95678), (8, 101250), (9, 110922), (1, 105583), (4, 69634), (3, 94680)]",88998,800984,0.4561
2024-02-04,17,"[6, 8, 9, 1, 4, 3]","[(6, 95678), (8, 101250), (9, 110922), (1, 105583), (4, 69634), (3, 94680)]",96291,577747,0.2982
2024-02-05,12,"[8, 9, 1, 0, 4, 3]","[(8, 101250), (9, 110922), (1, 105583), (0, 111837), (4, 69634), (3, 94680)]",98984,593906,0.2105
2024-02-06,16,"[9, 1, 0, 5, 4, 6, 3]","[(9, 110922), (1, 105583), (0, 111837), (5, 78271), (4, 69634), (6, 85570), (3, 94680)]",93785,656497,0.2807
2024-02-07,14,"[1, 0, 5, 4, 6, 3]","[(1, 105583), (0, 111837), (5, 78271), (4, 69634), (6, 85570), (3, 94680)]",90929,545575,0.2456
2024-02-08,12,"[0, 5, 4, 6, 3]","[(0, 111837), (5, 78271), (4, 69634), (6, 85570), (3, 94680)]",87998,439992,0.2105
2024-02-09,18,"[4, 6, 1, 5, 8, 2, 3]","[(4, 69634), (6, 85570), (1, 110323), (5, 105359), (8, 128320), (2, 142896), (3, 94680)]",105255,736782,0.3158
2024-02-10,20,"[6, 1, 5, 8, 0, 2, 4, 3]","[(6, 85570), (1, 110323), (5, 105359), (8, 128320), (0, 107367), (2, 142896), (4, 94334), (3, 94680)]",108606,868849,0.3509
2024-02-11,12,"[8, 0, 2, 4, 1, 3]","[(8, 128320), (0, 107367), (2, 142896), (4, 94334), (1, 228187), (3, 94680)]",132631,795784,0.2105
2024-02-12,15,"[2, 4, 0, 8, 6, 1, 3]","[(2, 142896), (4, 94334), (0, 117043), (8, 108984), (6, 68234), (1, 228187), (3, 94680)]",122051,854358,0.2632
2024-02-13,10,"[0, 8, 6, 1, 3]","[(0, 117043), (8, 108984), (6, 68234), (1, 228187), (3, 94680)]",123426,617128,0.1754
2024-02-14,10,"[0, 8, 6, 1, 3]","[(0, 117043), (8, 108984), (6, 68234), (1, 228187), (3, 94680)]",123426,617128,0.1754
2024-02-15,19,"[1, 6, 8, 9, 2, 3]","[(1, 228187), (6, 106084), (8, 188259), (9, 144336), (2, 94490), (3, 94680)]",142673,856036,0.3333
2024-02-16,26,"[6, 8, 9, 1, 0, 2, 5, 3]","[(6, 106084), (8, 188259), (9, 144336), (1, 103864), (0, 145023), (2, 94490), (5, 106382), (3, 94680)]",122890,983118,0.4561
2024-02-17,26,"[6, 8, 9, 1, 0, 2, 5, 3]","[(6, 106084), (8, 188259), (9, 144336), (1, 103864), (0, 145023), (2, 94490), (5, 106382), (3, 94680)]",122890,983118,0.4561
2024-02-18,11,"[2, 5, 0, 8, 3]","[(2, 94490), (5, 106382), (0, 175522), (8, 104940), (3, 94680)]",115203,576014,0.193
2024-02-19,13,"[0, 8, 2, 6, 9, 3]","[(0, 175522), (8, 104940), (2, 75148), (6, 92921), (9, 253944), (3, 94680)]",132859,797155,0.2281
2024-02-20,19,"[0, 8, 1, 2, 6, 5, 9, 4, 3]","[(0, 175522), (8, 104940), (1, 128562), (2, 75148), (6, 92921), (5, 90318), (9, 253944), (4, 92910), (3, 94680)]",123216,1108945,0.3333
2024-02-21,18,"[8, 1, 2, 6, 5, 9, 4, 3]","[(8, 104940), (1, 128562), (2, 75148), (6, 92921), (5, 90318), (9, 253944), (4, 92910), (3, 94680)]",116678,933423,0.3158
2024-02-22,21,"[6, 5, 9, 8, 1, 2, 4, 3]","[(6, 92921), (5, 90318), (9, 253944), (8, 124452), (1, 144095), (2, 57991), (4, 92910), (3, 94680)]",118914,951311,0.3684
2024-02-23,24,"[9, 6, 8, 5, 0, 1, 2, 4, 3]","[(9, 253944), (6, 122973), (8, 124452), (5, 126460), (0, 156086), (1, 144095), (2, 57991), (4, 92910), (3, 94680)]",130399,1173591,0.4211
2024-02-24,25,"[6, 8, 5, 0, 1, 2, 9, 4, 3]","[(6, 122973), (8, 124452), (5, 126460), (0, 156086), (1, 144095), (2, 57991), (9, 109570), (4, 92910), (3, 94680)]",114357,1029217,0.4386
2024-02-25,20,"[5, 0, 1, 2, 9, 4, 8, 3]","[(5, 126460), (0, 156086), (1, 144095), (2, 57991), (9, 109570), (4, 92910), (8, 102356), (3, 94680)]",110518,884148,0.3509
2024-02-26,19,"[2, 9, 0, 6, 4, 8, 3]","[(2, 57991), (9, 109570), (0, 85243), (6, 76905), (4, 92910), (8, 102356), (3, 94680)]",88522,619655,0.3333
2024-02-27,11,"[0, 6, 4, 8, 3]","[(0, 85243), (6, 76905), (4, 92910), (8, 102356), (3, 94680)]",90419,452094,0.193
2024-02-28,13,"[0, 6, 4, 8, 5, 3]","[(0, 85243), (6, 76905), (4, 92910), (8, 102356), (5, 102505), (3, 94680)]",92433,554599,0.2281
2024-02-29,19,"[4, 6, 8, 9, 5, 0, 3]","[(4, 92910), (6, 132385), (8, 102356), (9, 103951), (5, 102505), (0, 123168), (3, 94680)]",107422,751955,0.3333
2024-03-01,24,"[4, 6, 2, 8, 9, 5, 0, 3]","[(4, 92910), (6, 132385), (2, 104151), (8, 102356), (9, 103951), (5, 102505), (0, 123168), (3, 94680)]",107013,856106,0.4211
2024-03-02,22,"[6, 2, 8, 9, 5, 0, 3]","[(6, 132385), (2, 104151), (8, 102356), (9, 103951), (5, 102505), (0, 123168), (3, 94680)]",109028,763196,0.386
2024-03-03,16,"[2, 8, 9, 5, 0, 3]","[(2, 104151), (8, 102356), (9, 103951), (5, 102505), (0, 123168), (3, 94680)]",105135,630811,0.2807
2024-03-04,7,"[5, 0, 8, 3]","[(5, 102505), (0, 123168), (8, 257346), (3, 94680)]",144425,577699,0.1228
2024-03-05,5,"[8, 1, 3]","[(8, 257346), (1, 126704), (3, 94680)]",159577,478730,0.0877
2024-03-06,8,"[4, 8, 1, 3]","[(4, 109067), (8, 141958), (1, 126704), (3, 94680)]",118102,472409,0.1404
2024-03-07,17,"[4, 2, 0, 5, 8, 1, 3]","[(4, 109067), (2, 115291), (0, 133772), (5, 135084), (8, 141958), (1, 126704), (3, 94680)]",122365,856556,0.2982
2024-03-08,19,"[4, 2, 0, 5, 8, 1, 9, 3]","[(4, 109067), (2, 115291), (0, 133772), (5, 135084), (8, 141958), (1, 126704), (9, 166460), (3, 94680)]",127877,1023016,0.3333
2024-03-09,23,"[2, 0, 5, 8, 4, 1, 9, 3, 6]","[(2, 115291), (0, 133772), (5, 135084), (8, 141958), (4, 114964), (1, 126704), (9, 166460), (3, 94680), (6, 90704)]",124402,1119617,0.4035
2024-03-10,16,"[5, 8, 4, 1, 9, 3, 6]","[(5, 135084), (8, 141958), (4, 114964), (1, 126704), (9, 166460), (3, 94680), (6, 90704)]",124365,870554,0.2807
2024-03-11,13,"[1, 9, 3, 6, 8, 0]","[(1, 126704), (9, 166460), (3, 94680), (6, 90704), (8, 187738), (0, 115091)]",130230,781377,0.2281
2024-03-12,9,"[3, 6, 8, 0]","[(3, 94680), (6, 90704), (8, 187738), (0, 115091)]",122053,488213,0.1579
2024-03-13,10,"[0, 6, 5, 8, 1]","[(0, 115091), (6, 129286), (5, 109483), (8, 160046), (1, 148765)]",132534,662671,0.1754
2024-03-14,13,"[6, 9, 5, 8, 1, 0, 4]","[(6, 129286), (9, 155306), (5, 109483), (8, 160046), (1, 148765), (0, 317376), (4, 98476)]",159820,1118738,0.2281
2024-03-15,24,"[9, 5, 8, 1, 6, 0, 2, 4]","[(9, 155306), (5, 109483), (8, 160046), (1, 148765), (6, 125520), (0, 317376), (2, 114515), (4, 98476)]",153686,1229487,0.4211
2024-03-16,23,"[5, 8, 1, 6, 0, 2, 4, 9]","[(5, 109483), (8, 160046), (1, 148765), (6, 125520), (0, 317376), (2, 114515), (4, 98476), (9, 336517)]",176337,1410698,0.4035
2024-03-17,21,"[6, 0, 2, 4, 5, 8, 1, 9]","[(6, 125520), (0, 317376), (2, 114515), (4, 98476), (5, 86885), (8, 187032), (1, 185082), (9, 336517)]",181425,1451403,0.3684
2024-03-18,15,"[2, 4, 5, 8, 0, 1, 9]","[(2, 114515), (4, 98476), (5, 86885), (8, 187032), (0, 117043), (1, 185082), (9, 336517)]",160793,1125550,0.2632
2024-03-19,13,"[5, 8, 0, 1, 4, 9, 6]","[(5, 86885), (8, 187032), (0, 117043), (1, 185082), (4, 82175), (9, 336517), (6, 169352)]",166298,1164086,0.2281
2024-03-20,14,"[0, 1, 4, 9, 8, 6, 5]","[(0, 117043), (1, 185082), (4, 82175), (9, 336517), (8, 216206), (6, 169352), (5, 119428)]",175115,1225803,0.2456
2024-03-21,15,"[4, 9, 1, 0, 8, 6, 5]","[(4, 82175), (9, 336517), (1, 217490), (0, 134612), (8, 216206), (6, 169352), (5, 119428)]",182254,1275780,0.2632
2024-03-22,16,"[4, 9, 1, 0, 8, 6, 5]","[(4, 122482), (9, 336517), (1, 217490), (0, 134612), (8, 216206), (6, 169352), (5, 119428)]",188012,1316087,0.2807
2024-03-23,16,"[9, 1, 0, 8, 6, 5, 3]","[(9, 336517), (1, 217490), (0, 134612), (8, 216206), (6, 169352), (5, 119428), (3, 114859)]",186923,1308464,0.2807
2024-03-24,13,"[8, 6, 5, 3, 7]","[(8, 216206), (6, 169352), (5, 119428), (3, 114859), (7, 136314)]",151232,756159,0.2281
2024-03-25,21,"[5, 2, 0, 3, 6, 7, 9]","[(5, 101925), (2, 77248), (0, 279805), (3, 81878), (6, 73642), (7, 136314), (9, 148164)]",128425,898976,0.3684
2024-03-26,21,"[5, 2, 0, 3, 6, 7, 9]","[(5, 101925), (2, 77248), (0, 279805), (3, 81878), (6, 73642), (7, 136314), (9, 148164)]",128425,898976,0.3684
